Author,Line
Борис Рыжий,и как это лучше сказать:
Дмитрий Пригов,На меня страна
Дмитрий Пригов,А в общем-то — судьбы игрушка
Борис Рыжий,мая второго дня.
Борис Рыжий,в свете всех светофоров и фар.
Дмитрий Пригов,"А уж как, едрена мать"
Дмитрий Пригов,Но он не поддался и на эту хитрость
Борис Рыжий,лучше рылом в грязь.
Дмитрий Пригов,"Случайность вроде бы, казалось"
Дмитрий Пригов,Сам немножечко поел
Борис Рыжий,оттуда музыка слышна.
Борис Рыжий,"Господи, это я"
Дмитрий Пригов,"Ну, пихаться — там куда ни шло"
Борис Рыжий,"трамваи едут по нутру,"
Дмитрий Пригов,"Расскажи-ка мне скорей,"
Дмитрий Пригов,И Лермонтова в очередь сию
Дмитрий Пригов,Оттого что наверно устал
Борис Рыжий,Пусть опустеют небеса.
Дмитрий Пригов,Вставать с утра на беспощадный зов
Дмитрий Пригов,Вот ведь холодно немыслимо
Дмитрий Пригов,Зверь древнеримского стиха
Дмитрий Пригов,"Чиста, прозрачна и густа"
Борис Рыжий,"Как же мало ты прожил на свете,"
Дмитрий Пригов,"Вкуса полная и сытости,"
Борис Рыжий,Ты папиросу достаёшь
Дмитрий Пригов,Он воскричал б из жизни давней:
Дмитрий Пригов,Крылатым там каким-то
Борис Рыжий,"колесе обозренья, но понять невозможно:"
Борис Рыжий,"вы лучше, вы сложны."
Дмитрий Пригов,"А он там молодой, едрена мать"
Дмитрий Пригов,"Заметил я, как тяжело народ в метро спит"
Дмитрий Пригов,Вот я курицу зажарю
Дмитрий Пригов,Уж не ангелы ли кушают ее
Борис Рыжий,"Что ещё, Иринушка, не знаю,"
Борис Рыжий,"где в синих лужах ягоды рябины,"
Борис Рыжий,Из окошка взгляну на газон
Борис Рыжий,И ты поморщился от боли.
Дмитрий Пригов,Целу курицу сгубила
Дмитрий Пригов,"Мальчик, мальчик, грамотей,"
Борис Рыжий,"Где и с кем, и когда это было,"
Дмитрий Пригов,"Дяденька мой милый,"
Борис Рыжий,"Только пар, только белое в синем"
Дмитрий Пригов,А перед тем — преклонный возраст
Дмитрий Пригов,Не помнят
Борис Рыжий,зазвонит - суета.
Борис Рыжий,"обхвативши руками коленки,"
Борис Рыжий,больше никогда.
Дмитрий Пригов,А завтра — может быть решетка
Дмитрий Пригов,А сам окошко отворю
Борис Рыжий,"шататься, ту, которой навсегда"
Борис Рыжий,"горит полночная звезда,"
Дмитрий Пригов,"Ах, неужто ль у природы"
Дмитрий Пригов,Пока Пушкин над долгом страдал
Дмитрий Пригов,"Да и лежащий, и сидящий"
Борис Рыжий,когда люди сгорали дотла.
Борис Рыжий,"(Дочитаю печальную книгу,"
Борис Рыжий,"но вычурной и артистичной позы,"
Борис Рыжий,я позабуду сказочный Свердловск
Дмитрий Пригов,Четвертьфабрикат какой-нибудь
Дмитрий Пригов,А что нам эта грязь — нищтяк!
Дмитрий Пригов,"Гиб и страдал! — За то, за то"
Дмитрий Пригов,"Скажем, жизни я есть санитар"
Дмитрий Пригов,Участь определена
Борис Рыжий,Тюрьма стеной окружена.
Дмитрий Пригов,А теперь вот чегой-то устал
Борис Рыжий,"и, не дотягиваясь, смейся,"
Борис Рыжий,"И огни светофоров,"
Дмитрий Пригов,Мусоросборочной святой машины —
Дмитрий Пригов,Что-то воздух какой-то кривой
Дмитрий Пригов,Нечем пол мне подметать
Дмитрий Пригов,А завтра может и помрет
Борис Рыжий,"что проводил ладонью по лицу,"
Дмитрий Пригов,Да не могу уйти с поста
Борис Рыжий,И вновь на свете повторится
Дмитрий Пригов,Что костей не соберешь
Дмитрий Пригов,С каким-то ужасом бесовьим
Борис Рыжий,"Парк осенний стоит одиноко,"
Борис Рыжий,"Воду ржавую хлещешь из крана,"
Дмитрий Пригов,И уселись у окошка
Дмитрий Пригов,Полная и цвета розоватого.
Борис Рыжий,"без меня отчаливайте, хватит"
Дмитрий Пригов,Пока Рейган спешил-размещал
Борис Рыжий,Трамваи дребезжат бесплатные.
Борис Рыжий,"Постою немного на пороге,"
Борис Рыжий,"Озирались сонные трамваи,"
Борис Рыжий,13 лет. Стою на ринге.
Борис Рыжий,"Уйдем, вернемся именно сюда."
Дмитрий Пригов,А в общем жизнь — она права
Борис Рыжий,как первые солдаты перестройки.
Борис Рыжий,"Со сцены, со сцены,"
Борис Рыжий,для меня дурака.
Борис Рыжий,а потом отчалю навсегда
Борис Рыжий,Не надо ни хрена -
Дмитрий Пригов,Он стирать себя заставил
Борис Рыжий,"гусар, повеса из повес."
Дмитрий Пригов,За то ли я в глуши Молдавьи
Дмитрий Пригов,А теперь где? — нету
Борис Рыжий,"Ни печали женской, ни печали,"
Дмитрий Пригов,И стану интернацьонал
Дмитрий Пригов,А уходишь в другом направленье
Дмитрий Пригов,Своей воли господин
Дмитрий Пригов,Скакал младенцем меж людей
Борис Рыжий,"Стареют школьницы былые,"
Борис Рыжий,с нарисованной рощей берёз.
Борис Рыжий,"Ни тебя, ни меня, ни"
Дмитрий Пригов,Поколебали бы вконец
Дмитрий Пригов,Но жизнь устроена так мудро —
Дмитрий Пригов,Живи себе свое тая
Дмитрий Пригов,"Когда же стал я поправляться,"
Дмитрий Пригов,А что гниет? — мои ж объедки
Дмитрий Пригов,Что-то кости незнакомые
Борис Рыжий,и трамваи сонными глазами
Дмитрий Пригов,Мы сядем за белым столом
Борис Рыжий,"то яду подольёт в вино,"
Дмитрий Пригов,Здесь же она явно перегнула
Дмитрий Пригов,Голландскую курицу съем
Дмитрий Пригов,Там на Западе першинги новые
Дмитрий Пригов,И в лес вприпрыжку побежим
Дмитрий Пригов,"И так не хочется, скажи"
Борис Рыжий,и скрещения розовых фар.
Дмитрий Пригов,"Сломано все, не фурычит"
Дмитрий Пригов,С этим выпивал
Борис Рыжий,блеск реки и небес.
Дмитрий Пригов,Милейший
Дмитрий Пригов,Или прекрасный сладкий торт
Дмитрий Пригов,Хоть ее отдай! —
Дмитрий Пригов,Вот в очереди тихонько стою
Дмитрий Пригов,Нету для меня воды
Дмитрий Пригов,"Стою над ней, чтоб подвиг совершила"
Дмитрий Пригов,Уединиться б на часок
Дмитрий Пригов,Да вот тут приходят разные
Борис Рыжий,"Пятирублёвка, что надорвана,"
Борис Рыжий,С какой перемены
Борис Рыжий,голубое и белое в си......
Борис Рыжий,"Она откроет голубой альбом,"
Борис Рыжий,"и память о былом,"
Борис Рыжий,"Осыпаются алые клёны,"
Борис Рыжий,И гражданам свободной воли
Борис Рыжий,протягивая руку мне.
Дмитрий Пригов,А завтра поутру мы встанем
Борис Рыжий,"Умрём, и всё начнется вновь."
Дмитрий Пригов,А я жене сапожок залатал
Борис Рыжий,в открытом кинотеатре показывали кино.
Борис Рыжий,"я глаза на минуту закрою,"
Борис Рыжий,мы прошлое и будущее склеим.
Дмитрий Пригов,"О, деточка болезная"
Дмитрий Пригов,А после этого в песнях поют
Дмитрий Пригов,"О, как давно все это было"
Борис Рыжий,"Не надо ничего,"
Борис Рыжий,"Пусть ангел смерти, как в кино,"
Борис Рыжий,в какое кино убежать?
Борис Рыжий,голубого дождя из-под шин -
Дмитрий Пригов,Еще лучше ночью
Борис Рыжий,а просто так и между тем
Дмитрий Пригов,Вот плачет бедная стиральная машина
Дмитрий Пригов,И с улыбкой просветленной какают
Дмитрий Пригов,А он брыкался и не ел
Борис Рыжий,в каком направленье уйти?
Борис Рыжий,"Третьи сутки ломает цыгана,"
Борис Рыжий,А ты останься в стороне -
Борис Рыжий,земная шваль: бандиты и поэты.
Дмитрий Пригов,Померли они
Дмитрий Пригов,А щас прохожих за рукав
Дмитрий Пригов,Глотал таблетки аспирина.
Борис Рыжий,Летят снежинки аккуратные.
Дмитрий Пригов,Палку и все дело перешло
Дмитрий Пригов,Но ведь резьба-то не твоя
Дмитрий Пригов,Когда спят кругом
Борис Рыжий,а пока не хочу
Борис Рыжий,"Но где бы мне ни выпало остыть,"
Борис Рыжий,"чьи-то книги читал, много пил"
Борис Рыжий,покручу-поверчу -
Дмитрий Пригов,Полакомиться мня
Дмитрий Пригов,Он что-то знал себе такое
Дмитрий Пригов,"О, милые мои! О, детки!"
Борис Рыжий,просто нечем цыгану помочь.
Дмитрий Пригов,Ан поздно
Борис Рыжий,Приобретут всеевропейский лоск
Дмитрий Пригов,С этим вот сидел
Борис Рыжий,"Пусть Вторчермет гудит своей трубой,"
Дмитрий Пригов,И без ярости всякой в речах там
Борис Рыжий,подмолотами били меня.
Борис Рыжий,позавчерашняя газета
Борис Рыжий,музыка не может не играть.
Борис Рыжий,И путь-дорога далека.
Борис Рыжий,Вертинского сосед.
Дмитрий Пригов,Был слабже тушки херувима.
Борис Рыжий,облака для меня дурака.
Дмитрий Пригов,Зимним вечерком
Дмитрий Пригов,И сарафаны шить из ситца
Борис Рыжий,"на века, на века, на века."
Борис Рыжий,"Не то, что говорить не надо,"
Дмитрий Пригов,Вот жене сапожок залатал
Дмитрий Пригов,"Как торт, но и простых сластей"
Борис Рыжий,"двух влюблённых на пустой аллее,"
Борис Рыжий,"А женщина, что не была со мной,"
Дмитрий Пригов,Над сладостью дрожит
Дмитрий Пригов,"А, бывает, вернешься — Бог мой"
Дмитрий Пригов,Этим делом накормил
Борис Рыжий,и когда умирали цветы.
Дмитрий Пригов,Как ем я птичьи потроха
Дмитрий Пригов,"Я был преступник — Господи, реши мне"
Борис Рыжий,рябину за окном.
Борис Рыжий,"Мальчишкой в серой кепочке остаться,"
Борис Рыжий,"Не в плане не лишенной красоты,"
Борис Рыжий,Я говорил ей небылицы:
Борис Рыжий,"С антресолей достану ""ТТ"","
Дмитрий Пригов,Что со мною станет?
Борис Рыжий,"Домофон загудит, телефон"
Дмитрий Пригов,Скакал! ведь было же! ведь правда!
Дмитрий Пригов,Приобрел и приобрел
Дмитрий Пригов,И братия станут все люди
Дмитрий Пригов,Не прогулявшись
Борис Рыжий,"И тогда не исполнивший в сквере,"
Борис Рыжий,"где лица наши будущим согреты,"
Дмитрий Пригов,И женщине не приглянусь
Борис Рыжий,"Не надо ни .ера,"
Борис Рыжий,"этот свет покидать, этот свет,"
Борис Рыжий,"Всё равно, но порой, иногда"
Борис Рыжий,"не аллеями шёл, а дворами."
Борис Рыжий,и с середины пишутся стихи.
Борис Рыжий,"греясь у огня,"
Борис Рыжий,"подняться превыше сосен, до самого неба на"
Борис Рыжий,Прости былому хулигану
Дмитрий Пригов,А там глядишь — да и помрешь
Борис Рыжий,"Не покидай меня, когда"
Борис Рыжий,хвостатые и полосатые.
Борис Рыжий,"я прост, как три рубля,"
Дмитрий Пригов,А я надмирным неким существом
Борис Рыжий,"Пойду в общагу ПТУ,"
Борис Рыжий,"быть любимым, не"
Борис Рыжий,Любовь и солнце покупал.
Дмитрий Пригов,"Поскольку не имея, подлый, сил"
Борис Рыжий,"а может, просто не было его."
Борис Рыжий,"с голым торсом спуститься во мрак,"
Борис Рыжий,"На спину ""Levi's"" пришпандорено,"
Дмитрий Пригов,Насекомая на вид
Борис Рыжий,В кабаке твои губы
Борис Рыжий,но не лишай любви
Дмитрий Пригов,Дохожу до Ногина
Дмитрий Пригов,Как будто в явственном соседстве
Дмитрий Пригов,Грибочки мы с тобой поджарим
Дмитрий Пригов,А перед тем — как есть он слесарь
Дмитрий Пригов,"Ведь живем же, рассуждаем"
Борис Рыжий,Ты не помнишь этого дождя!
Борис Рыжий,Скамейки в парке пронеслось.
Дмитрий Пригов,"Он ответил: Ты пойдешь,"
Борис Рыжий,надо думать о самом простом.
Борис Рыжий,"сталинской: все как было, было давным-давно."
Дмитрий Пригов,Я целый день с винтом боролся
Дмитрий Пригов,Иной какой там феномен
Борис Рыжий,потому что не за что простить.
Дмитрий Пригов,Выходит какая-то старая блядь
Борис Рыжий,"Это ладно, всё это детали,"
Борис Рыжий,Только без меня.
Борис Рыжий,"Беседки, парки, небеса."
Дмитрий Пригов,Жить не хочется
Борис Рыжий,"помимо сигарет,"
Борис Рыжий,"ты меня никогда не любила,"
Дмитрий Пригов,По воскресным дням и по церковным праздникам
Борис Рыжий,их профили на мраморе и розы.
Борис Рыжий,Оркестр играет на трубе.
Дмитрий Пригов,Крылатым чем-то там
Дмитрий Пригов,Вот я терпел всю зиму
Дмитрий Пригов,Но немножечко-то простоял
Борис Рыжий,"полыхают вдали небеса,"
Борис Рыжий,"Здесь меня брали за руку, тут поднимали на руки,"
Дмитрий Пригов,Выходит слесарь в зимний двор
Дмитрий Пригов,В крылатый месяц май
Борис Рыжий,"Скрипки ли невидимые пели,"
Борис Рыжий,"Взор твой ярок и влажен,"
Борис Рыжий,"и сочиняет эти строки,"
Дмитрий Пригов,С пластмассовой ложечки кормил
Дмитрий Пригов,И со сметанкой поедим
Дмитрий Пригов,Подумаешь — испачкал ножки
Борис Рыжий,"Сесть на трамвай 10-й, выйти, пройти под аркой"
Дмитрий Пригов,"Вот из очереди, гады"
Дмитрий Пригов,"Там, бывало, подмету —"
Борис Рыжий,что прошел немного погодя
Борис Рыжий,благоухает сирень в этот весенний день.
Борис Рыжий,"О, если б ты знала,"
Дмитрий Пригов,Вечер посидели
Дмитрий Пригов,За окном внизу — народ и власть
Борис Рыжий,"в Париже знойном, Лондоне промозглом,"
Дмитрий Пригов,Так вот выйдешь в одном направленье
Дмитрий Пригов,Если ж нету ничего
Борис Рыжий,но выиграю в дискотеке.
Борис Рыжий,что забыта другим впопыхах.
Дмитрий Пригов,"Мол, в стране у нас не устают"
Дмитрий Пригов,Подъедать (неизвестно — накой?)
Дмитрий Пригов,Ну что за жизнь такая наша! —
Борис Рыжий,от пункта Б до пункта А.
Борис Рыжий,три ухаря из ППС.
Борис Рыжий,"Этот город, который"
Дмитрий Пригов,А бывает соберешь —
Дмитрий Пригов,Бульончик маленький сварю
Борис Рыжий,солнцем розовым залиты склоны -
Борис Рыжий,одинокие крылья влача.
Дмитрий Пригов,На прудах на Патриарших
Борис Рыжий,"слышь меня, основной!"
Борис Рыжий,жизнь с полуночи и до утра.
Борис Рыжий,в которых строчки двигались к концу.
Дмитрий Пригов,Оттого и нрав мой тверд и несуров
Дмитрий Пригов,Жаловаться грех
Дмитрий Пригов,А вытекает: надо жить
Борис Рыжий,"подвернувшийся под руку птица,"
Дмитрий Пригов,"Чтобы на всю, на ту же вечность"
Дмитрий Пригов,А чувствует меня насквозь
Борис Рыжий,"дай мне руку, останься со мной."
Борис Рыжий,пусть перед сном предельно страшно
Борис Рыжий,в пальто осеннем нараспашку.
Дмитрий Пригов,Из дома своего
Дмитрий Пригов,Кусок-то огромный — аж не приподнять
Борис Рыжий,Осталась глупая досада -
Борис Рыжий,и обрубок куста.
Борис Рыжий,"мерзостью назови,"
Дмитрий Пригов,Как у петуха бойцового —
Борис Рыжий,от пункта А до пункта Б
Дмитрий Пригов,И думаю себе отчасти:
Борис Рыжий,"с облаками летящими сны,"
Дмитрий Пригов,За ради чтоб я человеком был
Дмитрий Пригов,В ранг ненужно-личных отношений
Борис Рыжий,Ведь не начнётся никогда.
Борис Рыжий,очнувшись головой на свае:
Дмитрий Пригов,"Бегущий, ясно, что споткнется"
Дмитрий Пригов,Вот устроил постирушку
Дмитрий Пригов,Я немножко смертельно устал
Борис Рыжий,"и вообще, вобще."
Борис Рыжий,"Что написано, по крайней мере"
Борис Рыжий,И тихо злит меня опять
Борис Рыжий,и не видел неделями сына.
Борис Рыжий,"чтоб не стало, положим,"
Дмитрий Пригов,Вымою посуду
Дмитрий Пригов,Вон под тот автобус! —
Дмитрий Пригов,Жил себе я и не уставал
Дмитрий Пригов,Когда стал намного старше
Борис Рыжий,на вставных наиграю зубах.)
Борис Рыжий,"Где было вырезано ""Б. Р.""."
Дмитрий Пригов,Доезжаю до себя
Дмитрий Пригов,Что их упадка и заката
Борис Рыжий,"чтоб - в слезах, а не без."
Борис Рыжий,белей черёмухой в окне
Борис Рыжий,"Э, не рви на куски."
Борис Рыжий,я сейчас докурю и усну -
Дмитрий Пригов,Просто я как личность выше был
Борис Рыжий,"И права, вероятно, Ирина -"
Дмитрий Пригов,На всю оставшуюся вечность
Дмитрий Пригов,Отключат теплую водичку
Борис Рыжий,И ты поморщился от счастья.
Борис Рыжий,"ни тебя, ни меня."
Дмитрий Пригов,"И полечу, и полечу"
Борис Рыжий,"Не мешающий спиться, разбиться,"
Борис Рыжий,"На кусочки не рви,"
Дмитрий Пригов,Я с домашней борюсь энтропией
Дмитрий Пригов,"Обидно молодым, конечно, умирать"
Борис Рыжий,по облетевшим листьям сентября.
Дмитрий Пригов,А одни вот сплошь берцовые
Дмитрий Пригов,Где уж тут свободе быть
Дмитрий Пригов,Как бывало подметал я
Дмитрий Пригов,Под душем с теплою водой
Дмитрий Пригов,Поскольку очень уж бежит
Дмитрий Пригов,И курам не режут живот
Дмитрий Пригов,"И положу, чтобы лежало"
Борис Рыжий,"мы с тобою простояли час,"
Дмитрий Пригов,Словно две мужские кошки
Дмитрий Пригов,Я рядом с вами жить бы стал
Дмитрий Пригов,В этом ничего обидного —
Борис Рыжий,на безымянном кладбище свердловском.
Дмитрий Пригов,Они же с разинутым ртом
Дмитрий Пригов,Вот детка человечая
Борис Рыжий,"Скамейку выбирая, по аллеям"
Дмитрий Пригов,Я человеком здесь поставлен
Дмитрий Пригов,"Но ведь это же, скажем, что дар"
Дмитрий Пригов,Тут до старости б дожить
Дмитрий Пригов,С женой
Борис Рыжий,зарезал суку в коридоре.
Дмитрий Пригов,Я всю жизнь свою провел в мытье посуды
Дмитрий Пригов,Вот что-то ничего не стало
Дмитрий Пригов,"А я ведь поэт, я ведь гордость России я"
Дмитрий Пригов,Головкою овечею
Дмитрий Пригов,В ведре помойном что-то там гниет
Борис Рыжий,после слёз и сказанного слова?
Борис Рыжий,"Как я любил унылые картины,"
Борис Рыжий,"мы прочней и нежней, чем гранит."
Дмитрий Пригов,С универсама волокусь
Дмитрий Пригов,И я вскричал: Железный Бог
Дмитрий Пригов,"Полная отсутствья запаха,"
Дмитрий Пригов,"Да и идущий, и летящий"
Дмитрий Пригов,"Волю всю собравши, вот"
Дмитрий Пригов,А там и гости не пришли
Дмитрий Пригов,И мне не стало мочи
Дмитрий Пригов,С этим вот я ел
Борис Рыжий,"Лучше страшно, лучше безнадежно,"
Дмитрий Пригов,На землю снегами и туманами
Борис Рыжий,"А то, что нечего сказать."
Дмитрий Пригов,За убеждения садиться
Борис Рыжий,"ходишь рядом, урчишь у плеча,"
Борис Рыжий,не улыбаясь ничему.
Борис Рыжий,"Но право, стол и дом,"
Дмитрий Пригов,Начинайте — вот мы и готовые
Борис Рыжий,"без музыки, но по той дороге,"
Борис Рыжий,"Сказать, что всё начнется снова."
Дмитрий Пригов,О первую же кость преткнется
Борис Рыжий,"Пускай о розах, бля,"
Борис Рыжий,"Хорошо, если есть пистолет,"
Дмитрий Пригов,Иль от этого просто устал
Борис Рыжий,"уйди, оставь меня совсем."
Дмитрий Пригов,"Решил поправить я дела,"
Дмитрий Пригов,"И полечу, потом вернуся"
Борис Рыжий,они запнулись с медью в черепах
Дмитрий Пригов,Налетели злые бабы
Борис Рыжий,"ад посули посмертно,"
Дмитрий Пригов,Идет уж очень и лежит
Дмитрий Пригов,А из-за прилавка совсем не таяся
Борис Рыжий,"не хранитель мой ангел, а так."
Дмитрий Пригов,Головы моей бедовой
